#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-04-13;Monaco;93;1;6;1.08;6.45;92.47
2020-04-13;Moldavie;1662;33;107;1.99;6.44;91.58
2020-04-13;Montenegro;273;3;5;1.10;1.83;97.07
2020-04-13;Saint Martin;32;2;11;6.25;34.38;59.38
2020-04-13;Madagascar;106;0;20;0.00;18.87;81.13
2020-04-13;Macédoine;828;34;41;4.11;4.95;90.94
2020-04-13;Mali;105;9;22;8.57;20.95;70.48
2020-04-13;Birmanie;41;4;2;9.76;4.88;85.37
2020-04-13;Mongolie;17;0;4;0.00;23.53;76.47
2020-04-13;Macao;45;0;13;0.00;28.89;71.11
2020-04-13;Martinique;157;6;50;3.82;31.85;64.33
2020-04-13;Mauritanie;7;1;2;14.29;28.57;57.14
2020-04-13;Malte;378;3;44;0.79;11.64;87.57
2020-04-13;Maurice;324;9;42;2.78;12.96;84.26
2020-04-13;Maldives;20;0;14;0.00;70.00;30.00
2020-04-13;Malawi;13;2;0;15.38;0.00;84.62
2020-04-13;Mexique;4661;296;1843;6.35;39.54;54.11
2020-04-13;Malaisie;4683;76;2108;1.62;45.01;53.36
2020-04-13;Mozambique;21;0;2;0.00;9.52;90.48
2020-04-13;Namibie;16;0;3;0.00;18.75;81.25
2020-04-13;Nouvelle-Calédonie;18;0;1;0.00;5.56;94.44
2020-04-13;Niger;529;12;75;2.27;14.18;83.55
2020-04-13;Nigéria;323;10;85;3.10;26.32;70.59
2020-04-13;Nicaragua;9;1;4;11.11;44.44;44.44
2020-04-13;Pays-Bas;25746;2747;295;10.67;1.15;88.18
2020-04-13;Norvège;6525;128;32;1.96;0.49;97.55
2020-04-13;Népal;13;0;1;0.00;7.69;92.31
2020-04-13;Nouvelle-Zélande;1349;5;546;0.37;40.47;59.15
2020-04-13;Oman;727;4;124;0.55;17.06;82.39
